order_id,user_id,city,restaurant_name,order_value,discount,final_amount,delivery_time,order_date,payment_method
42,1078,Bangalore,Biryani House,684.9,43.37,641.53,50,2024-05-24,UPI
43,1418,Delhi,Cafe Coffee,644.33,79.65,564.68,46,2024-04-10,UPI
44,1858,Delhi,Pizza Palace,405.12,23.63,381.49,53,2024-05-16,Cash
45,1945,Bangalore,Cafe Coffee,566.8,76.12,490.68,41,2024-03-02,Card
46,1760,Delhi,Cafe Coffee,477.97,85.71,392.26,52,2024-01-05,UPI
47,1592,Bangalore,Biryani House,243.4,11.4,232.0,45,2024-02-17,Cash
48,1681,Bangalore,Cafe Coffee,114.75,97.55,17.2,58,2024-02-22,UPI
49,1823,Bangalore,Biryani House,489.96,97.93,392.03,56,2024-01-11,Cash
50,1591,Mumbai,Pizza Palace,138.11,94.37,43.74,59,2024-04-09,UPI
51,1603,Mumbai,Spicy Treats,498.57,4.05,494.52,41,2024-01-04,Cash
52,1057,Delhi,Biryani House,172.72,32.25,140.47,29,2024-06-28,Card
53,1981,Mumbai,Cafe Coffee,271.33,56.23,215.1,20,2024-01-04,Card
54,1187,Delhi,Biryani House,642.03,42.07,599.96,43,2024-03-13,Cash
55,1923,Bangalore,Burger Hub,705.98,6.61,699.37,28,2024-04-19,Card
56,1640,Hyderabad,Burger Hub,493.32,21.68,471.64,40,2024-05-08,Cash
57,1513,Bangalore,Spicy Treats,482.39,77.05,405.34,47,2024-04-16,Card
58,1139,Mumbai,Burger Hub,428.49,57.53,370.96,28,2024-04-23,UPI
59,1958,Delhi,Burger Hub,556.77,19.17,537.6,38,2024-01-30,UPI
60,1949,Mumbai,Cafe Coffee,311.82,47.61,264.21,20,2024-01-16,Card
61,1790,Hyderabad,Spicy Treats,154.98,37.03,117.95,52,2024-01-13,UPI
62,1562,Hyderabad,Cafe Coffee,220.29,11.0,209.29,32,2024-04-09,Card
63,1389,Hyderabad,Biryani House,623.96,1.35,622.61,31,2024-03-18,Cash
64,1013,Bangalore,Burger Hub,299.28,80.53,218.75,48,2024-06-14,UPI
65,1697,Pune,Pizza Palace,553.71,3.19,550.52,37,2024-06-24,UPI
66,1561,Bangalore,Biryani House,640.35,59.69,580.66,35,2024-04-18,Cash
67,1774,Bangalore,Burger Hub,720.96,10.3,710.66,28,2024-01-30,UPI
68,1016,Pune,Burger Hub,239.33,71.68,167.65,38,2024-06-17,UPI
69,1431,Pune,Pizza Palace,743.71,34.58,709.13,44,2024-06-11,UPI
70,1580,Mumbai,Spicy Treats,370.7,26.01,344.69,26,2024-06-29,Cash
71,1494,Mumbai,Pizza Palace,477.22,45.05,432.17,33,2024-05-15,Card
72,1819,Bangalore,Pizza Palace,320.01,86.54,233.47,43,2024-03-07,Cash
73,1779,Mumbai,Pizza Palace,578.1,40.32,537.78,51,2024-04-06,Cash
74,1117,Hyderabad,Burger Hub,636.2,4.35,631.85,49,2024-03-19,UPI
75,1223,Hyderabad,Spicy Treats,537.72,4.59,533.13,56,2024-05-21,Cash
76,1501,Delhi,Biryani House,258.02,89.36,168.66,22,2024-05-02,Cash
77,1702,Mumbai,Burger Hub,140.52,20.81,119.71,59,2024-03-03,Card
78,1455,Bangalore,Pizza Palace,213.67,54.88,158.79,53,2024-02-08,Card
79,1517,Bangalore,Spicy Treats,456.37,32.61,423.76,26,2024-06-26,UPI
80,1750,Hyderabad,Spicy Treats,504.5,15.7,488.8,40,2024-04-16,Cash
81,1845,Pune,Burger Hub,118.56,14.06,104.5,54,2024-01-03,Cash
82,1748,Pune,Biryani House,679.1,60.57,618.53,37,2024-01-28,UPI
83,1949,Mumbai,Burger Hub,138.35,60.14,78.21,24,2024-01-24,Cash
84,1621,Bangalore,Biryani House,692.33,50.96,641.37,53,2024-05-30,UPI
85,1232,Delhi,Biryani House,247.02,57.35,189.67,52,2024-06-28,Cash
86,1980,Bangalore,Pizza Palace,638.56,6.29,632.27,40,2024-05-30,Cash
87,1275,Bangalore,Burger Hub,763.06,90.04,673.02,27,2024-01-26,Card
88,1480,Pune,Cafe Coffee,363.75,73.69,290.06,46,2024-01-17,Cash
89,1810,Hyderabad,Pizza Palace,233.01,18.34,214.67,49,2024-03-31,UPI
90,1267,Pune,Cafe Coffee,262.71,92.06,170.65,25,2024-01-07,UPI
91,1558,Mumbai,Spicy Treats,181.76,71.28,110.48,30,2024-05-20,UPI
92,1405,Bangalore,Cafe Coffee,400.15,60.01,340.14,27,2024-02-13,Cash
93,1966,Mumbai,Burger Hub,781.69,18.98,762.71,58,2024-05-16,Cash
94,1789,Pune,Pizza Palace,712.39,47.19,665.2,47,2024-04-06,Cash
95,1676,Pune,Burger Hub,121.38,64.79,56.59,49,2024-06-01,Card
96,1576,Bangalore,Burger Hub,407.0,38.09,368.91,50,2024-01-01,UPI
97,1377,Hyderabad,Burger Hub,154.77,29.05,125.72,29,2024-06-15,UPI
98,1521,Delhi,Cafe Coffee,289.11,22.36,266.75,43,2024-03-19,Cash
99,1856,Pune,Cafe Coffee,691.33,72.57,618.76,42,2024-01-13,Card
100,1778,Hyderabad,Pizza Palace,217.65,74.94,142.71,39,2024-03-12,Card
101,1760,Bangalore,Spicy Treats,307.68,9.22,298.46,53,2024-02-01,Card
102,1912,Mumbai,Spicy Treats,707.6,9.35,698.25,42,2024-03-12,UPI
103,1195,Delhi,Burger Hub,430.44,38.71,391.73,25,2024-03-30,UPI
104,1850,Delhi,Cafe Coffee,562.04,83.35,478.69,32,2024-02-16,Cash
105,1847,Mumbai,Pizza Palace,206.01,91.68,114.33,42,2024-04-29,Card
106,1780,Hyderabad,Cafe Coffee,689.2,50.06,639.14,57,2024-02-25,Card
107,1707,Hyderabad,Biryani House,697.12,5.99,691.13,48,2024-04-12,Card
108,1197,Hyderabad,Spicy Treats,538.55,97.76,440.79,21,2024-06-03,Cash
109,1440,Bangalore,Pizza Palace,387.35,72.94,314.41,39,2024-03-07,UPI
110,1171,Hyderabad,Spicy Treats,162.88,17.76,145.12,24,2024-06-27,Cash
111,1175,Mumbai,Burger Hub,174.63,48.47,126.16,36,2024-05-25,UPI
112,1169,Pune,Pizza Palace,314.9,20.93,293.97,39,2024-01-31,UPI
113,1462,Hyderabad,Spicy Treats,404.53,55.99,348.54,28,2024-04-13,Card
114,1326,Delhi,Pizza Palace,471.98,72.35,399.63,33,2024-05-25,UPI
115,1176,Hyderabad,Burger Hub,354.69,48.19,306.5,39,2024-03-18,Cash
116,1634,Hyderabad,Burger Hub,577.89,62.2,515.69,57,2024-02-14,UPI
117,1890,Delhi,Burger Hub,729.79,40.79,689.0,49,2024-01-13,Card
118,1912,Delhi,Burger Hub,600.12,84.39,515.73,40,2024-01-16,Cash
119,1013,Pune,Pizza Palace,588.33,51.18,537.15,21,2024-05-19,Card
120,1495,Delhi,Biryani House,274.56,45.65,228.91,39,2024-03-17,Card
121,1586,Mumbai,Cafe Coffee,683.15,42.18,640.97,60,2024-06-17,UPI
122,1397,Delhi,Biryani House,707.05,90.77,616.28,39,2024-05-22,Card
123,1362,Pune,Cafe Coffee,595.24,82.45,512.79,36,2024-01-15,Card
124,1843,Hyderabad,Biryani House,627.11,61.34,565.77,58,2024-01-06,Card
125,1652,Pune,Spicy Treats,522.84,83.41,439.43,24,2024-02-08,UPI
126,1724,Hyderabad,Burger Hub,643.27,22.52,620.75,50,2024-01-15,Card
127,1197,Mumbai,Biryani House,215.07,34.13,180.94,22,2024-05-13,Card
128,1867,Delhi,Burger Hub,652.83,40.03,612.8,30,2024-06-08,Card
129,1979,Bangalore,Burger Hub,302.45,26.29,276.16,60,2024-01-05,UPI
130,1412,Hyderabad,Burger Hub,782.03,75.43,706.6,22,2024-04-17,UPI
131,1975,Delhi,Spicy Treats,317.66,19.51,298.15,21,2024-02-04,Card
132,1080,Hyderabad,Biryani House,589.0,54.48,534.52,34,2024-01-06,UPI
133,1735,Hyderabad,Cafe Coffee,647.67,91.19,556.48,38,2024-05-20,UPI
134,1572,Hyderabad,Biryani House,726.62,29.01,697.61,25,2024-02-10,Card
135,1779,Mumbai,Pizza Palace,782.23,51.75,730.48,20,2024-01-29,Card
136,1573,Delhi,Biryani House,289.35,23.77,265.58,49,2024-02-29,UPI
137,1705,Pune,Pizza Palace,762.28,7.44,754.84,24,2024-01-20,UPI
138,1000,Delhi,Cafe Coffee,101.57,17.9,83.67,48,2024-02-05,UPI
139,1127,Bangalore,Cafe Coffee,102.1,99.27,2.83,31,2024-01-17,UPI
140,1085,Delhi,Cafe Coffee,540.01,20.98,519.03,51,2024-03-02,Cash
141,1171,Pune,Biryani House,595.49,25.99,569.5,21,2024-06-28,Card
142,1162,Mumbai,Spicy Treats,594.88,67.54,527.34,37,2024-04-16,UPI
143,1524,Hyderabad,Pizza Palace,568.13,54.29,513.84,58,2024-01-15,Cash
144,1743,Mumbai,Burger Hub,711.39,0.82,710.57,32,2024-05-13,Cash
145,1802,Hyderabad,Burger Hub,325.25,50.73,274.52,59,2024-02-11,Cash
146,1713,Mumbai,Biryani House,395.12,4.34,390.78,43,2024-02-11,Cash
147,1217,Pune,Cafe Coffee,639.03,93.69,545.34,33,2024-06-24,Card
148,1517,Pune,Spicy Treats,631.37,23.58,607.79,28,2024-06-16,Card
149,1448,Delhi,Spicy Treats,214.59,62.23,152.36,28,2024-06-25,UPI
150,1431,Hyderabad,Spicy Treats,721.63,89.77,631.86,27,2024-01-08,Cash
151,1041,Pune,Pizza Palace,446.98,15.06,431.92,34,2024-02-12,Card
152,1382,Bangalore,Biryani House,148.42,16.8,131.62,39,2024-01-05,UPI
153,1255,Pune,Biryani House,693.49,25.47,668.02,35,2024-04-23,Card
154,1929,Mumbai,Spicy Treats,531.04,83.99,447.05,32,2024-04-24,Cash
155,1612,Bangalore,Burger Hub,510.21,4.1,506.11,42,2024-04-29,UPI
156,1369,Delhi,Cafe Coffee,424.8,22.67,402.13,48,2024-03-31,Card
157,1154,Pune,Burger Hub,334.38,40.09,294.29,40,2024-03-15,UPI
158,1465,Bangalore,Pizza Palace,651.49,76.43,575.06,26,2024-04-11,UPI
159,1192,Mumbai,Biryani House,493.95,99.32,394.63,47,2024-01-07,Card
160,1240,Bangalore,Burger Hub,391.04,46.47,344.57,22,2024-06-26,Cash
161,1505,Hyderabad,Cafe Coffee,101.08,55.68,45.4,54,2024-04-12,Card
162,1497,Delhi,Pizza Palace,782.05,84.38,697.67,42,2024-04-22,Card
163,1246,Delhi,Spicy Treats,340.12,93.33,246.79,58,2024-02-20,Cash
164,1497,Bangalore,Pizza Palace,616.77,61.23,555.54,48,2024-03-16,Card
165,1754,Pune,Biryani House,550.48,90.11,460.37,58,2024-02-10,Cash
166,1621,Bangalore,Pizza Palace,635.47,64.92,570.55,48,2024-05-12,UPI
167,1271,Delhi,Pizza Palace,674.33,59.88,614.45,44,2024-02-16,UPI
168,1976,Delhi,Biryani House,748.87,47.44,701.43,45,2024-01-28,Cash
169,1268,Delhi,Biryani House,410.62,31.86,378.76,38,2024-01-03,Card
170,1557,Pune,Burger Hub,652.01,62.39,589.62,32,2024-05-27,Cash
171,1281,Pune,Biryani House,588.22,41.0,547.22,54,2024-05-10,UPI
172,1719,Hyderabad,Spicy Treats,441.23,3.51,437.72,48,2024-06-01,Card
173,1280,Delhi,Pizza Palace,517.42,99.05,418.37,27,2024-06-26,UPI
174,1855,Mumbai,Burger Hub,342.27,95.77,246.5,56,2024-03-08,Card
175,1660,Mumbai,Cafe Coffee,485.35,27.75,457.6,50,2024-05-17,UPI
176,1830,Mumbai,Cafe Coffee,328.57,57.23,271.34,54,2024-03-29,UPI
177,1355,Hyderabad,Pizza Palace,194.48,95.37,99.11,29,2024-02-20,UPI
178,1553,Bangalore,Cafe Coffee,168.81,5.08,163.73,31,2024-04-19,UPI
179,1256,Pune,Burger Hub,397.76,29.7,368.06,39,2024-04-16,Cash
180,1012,Mumbai,Cafe Coffee,459.58,78.14,381.44,48,2024-03-30,Cash
181,1100,Delhi,Burger Hub,301.37,71.67,229.7,25,2024-05-13,Card
182,1262,Bangalore,Pizza Palace,517.58,62.07,455.51,58,2024-02-13,Card
183,1310,Mumbai,Biryani House,362.11,94.98,267.13,36,2024-03-26,Card
184,1423,Pune,Cafe Coffee,581.36,32.45,548.91,40,2024-02-10,Cash
185,1795,Hyderabad,Pizza Palace,643.94,86.93,557.01,58,2024-05-30,Card
186,1975,Pune,Biryani House,382.1,36.49,345.61,45,2024-01-13,UPI
187,1752,Hyderabad,Burger Hub,466.0,45.08,420.92,57,2024-01-18,Card
188,1109,Pune,Biryani House,665.26,11.67,653.59,31,2024-04-14,UPI
189,1169,Delhi,Spicy Treats,288.81,71.93,216.88,42,2024-03-15,Cash
190,1849,Bangalore,Pizza Palace,372.5,48.48,324.02,40,2024-05-20,UPI
191,1767,Hyderabad,Biryani House,658.73,68.26,590.47,58,2024-03-04,UPI
192,1787,Hyderabad,Burger Hub,314.42,85.34,229.08,40,2024-04-14,Cash
193,1042,Hyderabad,Pizza Palace,709.01,99.9,609.11,42,2024-01-31,Card
194,1642,Mumbai,Cafe Coffee,181.89,0.39,181.5,56,2024-04-08,Card
195,1771,Bangalore,Spicy Treats,124.42,96.17,28.25,37,2024-04-13,UPI
196,1275,Bangalore,Biryani House,343.69,35.55,308.14,39,2024-06-07,UPI
197,1881,Delhi,Cafe Coffee,435.56,92.15,343.41,32,2024-02-19,UPI
198,1363,Bangalore,Pizza Palace,790.06,80.32,709.74,23,2024-05-12,Card
199,1558,Pune,Cafe Coffee,756.85,49.31,707.54,32,2024-02-16,UPI
200,1837,Pune,Burger Hub,543.77,15.44,528.33,60,2024-04-07,Card
201,1786,Hyderabad,Pizza Palace,410.53,83.87,326.66,39,2024-04-12,Card
202,1614,Bangalore,Pizza Palace,446.89,13.81,433.08,50,2024-06-08,Cash
203,1311,Hyderabad,Biryani House,304.07,36.57,267.5,21,2024-01-27,Card
204,1002,Pune,Spicy Treats,647.41,23.52,623.89,50,2024-06-15,Cash
205,1056,Delhi,Spicy Treats,381.17,54.36,326.81,36,2024-04-08,Card
206,1681,Delhi,Burger Hub,172.74,67.31,105.43,21,2024-01-09,Cash
207,1681,Bangalore,Cafe Coffee,208.13,96.26,111.87,55,2024-05-02,Cash
208,1082,Pune,Burger Hub,336.46,30.63,305.83,30,2024-06-05,Cash
209,1841,Bangalore,Biryani House,287.46,43.19,244.27,21,2024-02-24,UPI
210,1067,Hyderabad,Pizza Palace,580.53,8.19,572.34,30,2024-02-06,UPI
211,1561,Delhi,Pizza Palace,184.98,88.22,96.76,55,2024-06-27,Card
212,1607,Pune,Cafe Coffee,467.44,25.61,441.83,24,2024-02-16,Cash
213,1908,Pune,Biryani House,474.25,61.67,412.58,40,2024-05-01,UPI
214,1016,Hyderabad,Cafe Coffee,382.17,85.56,296.61,22,2024-01-28,Card
215,1949,Pune,Biryani House,277.35,53.11,224.24,29,2024-01-17,Card
216,1144,Mumbai,Burger Hub,356.66,0.81,355.85,36,2024-02-14,Cash
217,1229,Mumbai,Burger Hub,557.24,22.06,535.18,58,2024-02-24,UPI
218,1696,Hyderabad,Cafe Coffee,684.73,84.35,600.38,58,2024-04-02,Cash
219,1604,Delhi,Cafe Coffee,300.95,33.9,267.05,53,2024-05-23,UPI
220,1536,Mumbai,Spicy Treats,301.98,43.99,257.99,48,2024-01-18,UPI
221,1991,Delhi,Cafe Coffee,752.55,73.62,678.93,42,2024-01-05,UPI
222,1572,Bangalore,Burger Hub,100.87,72.89,27.98,40,2024-05-27,Cash
223,1578,Mumbai,Pizza Palace,107.1,92.52,14.58,34,2024-06-27,Cash
224,1216,Mumbai,Pizza Palace,772.71,71.02,701.69,22,2024-02-16,Cash
225,1054,Bangalore,Biryani House,238.09,67.45,170.64,55,2024-05-21,Cash
226,1009,Pune,Cafe Coffee,294.04,5.82,288.22,20,2024-06-08,Cash
227,1433,Mumbai,Spicy Treats,315.96,96.58,219.38,51,2024-01-01,UPI
228,1111,Hyderabad,Biryani House,103.42,55.7,47.72,58,2024-01-01,Card
229,1987,Mumbai,Cafe Coffee,451.48,96.47,355.01,35,2024-05-14,Card
230,1658,Pune,Cafe Coffee,414.05,37.4,376.65,24,2024-04-22,UPI
231,1067,Pune,Spicy Treats,636.71,12.34,624.37,20,2024-06-12,Cash
232,1922,Hyderabad,Cafe Coffee,161.6,44.75,116.85,41,2024-01-15,Cash
233,1676,Hyderabad,Burger Hub,169.11,31.64,137.47,57,2024-03-20,Card
234,1646,Hyderabad,Pizza Palace,431.68,75.79,355.89,44,2024-03-26,Card
235,1890,Delhi,Pizza Palace,585.1,88.9,496.2,37,2024-05-13,Card
236,1616,Bangalore,Biryani House,185.42,72.4,113.02,34,2024-06-02,Card
237,1467,Mumbai,Pizza Palace,315.46,49.59,265.87,53,2024-03-22,Card
238,1929,Delhi,Burger Hub,172.92,98.64,74.28,21,2024-01-25,Card
239,1515,Bangalore,Cafe Coffee,234.93,10.87,224.06,56,2024-06-01,Cash
240,1345,Delhi,Spicy Treats,737.36,91.06,646.3,29,2024-03-17,UPI
241,1262,Hyderabad,Pizza Palace,415.47,1.5,413.97,36,2024-06-06,UPI
242,1829,Pune,Spicy Treats,214.13,45.8,168.33,51,2024-03-20,Cash
243,1600,Hyderabad,Spicy Treats,375.87,78.24,297.63,58,2024-01-04,Cash
244,1674,Bangalore,Biryani House,189.72,66.35,123.37,46,2024-06-25,Cash
245,1804,Hyderabad,Biryani House,617.59,39.64,577.95,27,2024-05-23,UPI
246,1490,Bangalore,Pizza Palace,122.11,63.98,58.13,28,2024-05-31,UPI
247,1299,Pune,Spicy Treats,292.65,6.21,286.44,37,2024-05-19,Cash
248,1720,Hyderabad,Biryani House,516.69,34.19,482.5,47,2024-02-15,Cash
249,1797,Bangalore,Burger Hub,630.37,94.97,535.4,32,2024-01-09,UPI
250,1013,Mumbai,Spicy Treats,131.11,69.43,61.68,55,2024-06-24,Card
251,1424,Mumbai,Cafe Coffee,565.12,60.72,504.4,25,2024-04-21,UPI
252,1692,Bangalore,Cafe Coffee,280.07,75.19,204.88,35,2024-06-28,Card
253,1390,Mumbai,Pizza Palace,523.01,50.59,472.42,26,2024-06-05,Card
254,1863,Delhi,Spicy Treats,487.14,45.86,441.28,36,2024-06-24,Card
255,1653,Mumbai,Spicy Treats,149.0,94.77,54.23,57,2024-02-28,UPI
256,1191,Bangalore,Biryani House,766.67,47.81,718.86,45,2024-06-12,UPI
257,1621,Mumbai,Cafe Coffee,224.18,68.36,155.82,29,2024-05-26,Cash
258,1691,Bangalore,Burger Hub,152.6,36.57,116.03,48,2024-04-23,Cash
259,1670,Delhi,Pizza Palace,655.39,11.16,644.23,32,2024-01-22,UPI
260,1971,Hyderabad,Cafe Coffee,583.36,58.74,524.62,33,2024-05-29,Card
261,1162,Delhi,Burger Hub,783.2,10.33,772.87,59,2024-01-02,Cash
262,1430,Delhi,Biryani House,206.75,30.77,175.98,32,2024-01-11,Card
263,1643,Bangalore,Burger Hub,161.85,44.26,117.59,57,2024-04-28,Cash
264,1861,Pune,Pizza Palace,371.37,36.38,334.99,31,2024-04-05,Card
265,1598,Hyderabad,Spicy Treats,512.07,13.46,498.61,36,2024-06-05,Card
266,1668,Mumbai,Burger Hub,177.04,87.74,89.3,53,2024-02-02,Cash
267,1315,Pune,Burger Hub,767.45,23.44,744.01,41,2024-06-13,Cash
268,1917,Delhi,Biryani House,124.6,54.94,69.66,51,2024-01-31,Cash
269,1698,Bangalore,Pizza Palace,477.64,22.55,455.09,48,2024-06-20,Card
270,1922,Hyderabad,Spicy Treats,525.23,33.25,491.98,39,2024-03-24,Card
271,1564,Hyderabad,Pizza Palace,254.74,21.73,233.01,46,2024-05-15,Cash
272,1489,Delhi,Spicy Treats,475.19,7.16,468.03,29,2024-06-29,UPI
273,1515,Pune,Biryani House,211.1,7.54,203.56,21,2024-01-05,Card
274,1553,Bangalore,Pizza Palace,697.11,85.4,611.71,43,2024-01-07,Cash
275,1270,Mumbai,Pizza Palace,266.9,14.37,252.53,33,2024-01-29,Card
276,1177,Delhi,Cafe Coffee,511.75,21.63,490.12,33,2024-05-09,UPI
277,1500,Hyderabad,Pizza Palace,573.4,22.3,551.1,24,2024-02-05,Cash
278,1394,Pune,Burger Hub,373.49,71.58,301.91,39,2024-05-08,Card
279,1895,Delhi,Spicy Treats,623.79,11.52,612.27,55,2024-05-17,Card
280,1648,Bangalore,Pizza Palace,376.81,58.02,318.79,51,2024-06-04,Cash
281,1349,Pune,Cafe Coffee,797.0,87.74,709.26,46,2024-05-25,Cash
282,1784,Mumbai,Cafe Coffee,305.7,49.2,256.5,51,2024-02-07,Cash
283,1041,Bangalore,Cafe Coffee,594.24,30.44,563.8,27,2024-04-10,Card
284,1970,Mumbai,Pizza Palace,166.08,39.17,126.91,57,2024-03-25,Cash
285,1336,Pune,Biryani House,247.83,59.29,188.54,23,2024-05-29,Card
286,1318,Delhi,Biryani House,541.68,63.19,478.49,46,2024-01-18,Card
287,1445,Delhi,Spicy Treats,356.65,52.1,304.55,48,2024-05-03,Cash
288,1644,Pune,Cafe Coffee,709.64,80.91,628.73,49,2024-04-08,Card
289,1457,Bangalore,Cafe Coffee,160.56,98.04,62.52,38,2024-06-27,Cash
290,1331,Hyderabad,Cafe Coffee,709.16,95.25,613.91,47,2024-03-21,Card
291,1281,Bangalore,Pizza Palace,688.84,67.19,621.65,49,2024-06-26,UPI
292,1403,Bangalore,Cafe Coffee,514.38,26.75,487.63,20,2024-02-01,UPI
293,1463,Delhi,Spicy Treats,100.02,89.37,10.65,35,2024-04-01,Cash
294,1766,Bangalore,Pizza Palace,375.57,12.43,363.14,52,2024-05-05,Card
295,1208,Bangalore,Burger Hub,530.09,23.13,506.96,36,2024-01-11,UPI
296,1532,Mumbai,Pizza Palace,669.12,74.96,594.16,33,2024-03-04,UPI
297,1973,Delhi,Biryani House,518.63,65.49,453.14,26,2024-06-29,Card
298,1902,Mumbai,Pizza Palace,771.11,71.12,699.99,24,2024-03-24,UPI
299,1577,Delhi,Pizza Palace,722.59,60.08,662.51,26,2024-02-01,UPI
300,1041,Bangalore,Burger Hub,395.26,94.33,300.93,26,2024-01-31,Card
301,1033,Pune,Biryani House,310.7,40.07,270.63,47,2024-06-20,Cash
302,1404,Bangalore,Biryani House,611.12,75.98,535.14,38,2024-02-17,Cash
303,1261,Bangalore,Cafe Coffee,750.47,86.28,664.19,29,2024-02-08,Card
304,1188,Mumbai,Biryani House,129.86,35.57,94.29,51,2024-01-11,Cash
305,1619,Pune,Cafe Coffee,298.24,26.62,271.62,41,2024-03-28,Card
306,1185,Delhi,Biryani House,215.83,78.41,137.42,36,2024-06-16,Card
307,1695,Mumbai,Cafe Coffee,213.56,63.36,150.2,44,2024-03-01,Card
308,1566,Bangalore,Burger Hub,217.46,72.37,145.09,30,2024-01-10,UPI
309,1676,Pune,Spicy Treats,176.37,12.6,163.77,31,2024-03-20,Cash
310,1007,Bangalore,Biryani House,560.61,63.32,497.29,32,2024-01-17,Cash
311,1566,Pune,Spicy Treats,214.11,78.31,135.8,29,2024-03-02,Card
312,1040,Bangalore,Spicy Treats,245.05,50.95,194.1,27,2024-02-18,Cash
313,1498,Delhi,Spicy Treats,274.69,67.99,206.7,28,2024-06-24,Card
314,1423,Bangalore,Burger Hub,222.5,60.07,162.43,47,2024-05-18,UPI
315,1216,Delhi,Biryani House,741.35,59.61,681.74,24,2024-04-28,UPI
316,1574,Hyderabad,Spicy Treats,642.4,14.15,628.25,38,2024-02-28,Cash
317,1288,Bangalore,Pizza Palace,128.72,24.31,104.41,46,2024-01-31,UPI
318,1499,Delhi,Burger Hub,289.91,56.49,233.42,30,2024-06-18,Card
319,1475,Hyderabad,Biryani House,572.76,11.58,561.18,35,2024-04-19,UPI
320,1590,Pune,Cafe Coffee,664.22,61.33,602.89,33,2024-03-17,UPI
321,1768,Bangalore,Cafe Coffee,439.54,20.74,418.8,55,2024-06-18,Card
322,1601,Bangalore,Biryani House,179.36,77.63,101.73,41,2024-03-21,UPI
323,1780,Delhi,Spicy Treats,444.51,44.64,399.87,47,2024-02-03,Cash
324,1879,Mumbai,Spicy Treats,548.33,81.71,466.62,23,2024-02-26,Card
